source_file,statement_close_date,transaction_date,day,month,year,description,currency,amount,ars_amount,usd_amount,original_currency,original_amount,installment,reference,source_line_no,raw_line
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-08-20,20,8,2025,MERPAGO*WOK,ARS,1421.34,1421.34,,,,C.05/18,966693,33,"25 Agosto 20 966693 * MERPAGO*WOK C.05/18 1.421,34"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-12,12,12,2025,lo de charly,ARS,21650.00,21650.00,,,,,729166,34,"25 Diciem. 12 729166 K lo de charly 21.650,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-13,13,12,2025,MOVISTAR DA 000000013769984,ARS,43839.96,43839.96,,,,,001664,35,"13 001664 * MOVISTAR DA 000000013769984 43.839,96"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-13,13,12,2025,RAPPI,ARS,17448.00,17448.00,,,,,006346,36,"13 006346 * RAPPI 17.448,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-13,13,12,2025,Audible*C470T0MG 3OZTd7OuI,USD,0.99,,0.99,USD,0.99,,775290,37,"13 775290 Audible*C470T0MG 3OZTd7OuIUSD 0,99 0,99"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-14,14,12,2025,MERPAGO*ELPATIO,ARS,55000.00,55000.00,,,,,928515,38,"14 928515 K MERPAGO*ELPATIO 55.000,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-14,14,12,2025,LUCCIANOS,ARS,10100.00,10100.00,,,,,005010,39,"14 005010 K LUCCIANOS 10.100,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-14,14,12,2025,TEMPLE BAR,ARS,12050.00,12050.00,,,,,005963,40,"14 005963 K TEMPLE BAR 12.050,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-15,15,12,2025,SAN CRISTOBAL 1050132335515-001-000,ARS,229383.00,229383.00,,,,,034644,41,"15 034644 * SAN CRISTOBAL 1050132335515-001-000 229.383,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-15,15,12,2025,PROPINA*RAPPI,ARS,860.00,860.00,,,,,005357,42,"15 005357 K PROPINA*RAPPI 860,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-15,15,12,2025,RAPPI,ARS,10863.00,10863.00,,,,,005357,43,"15 005357 K RAPPI 10.863,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-15,15,12,2025,MD COMIC Y MANGA STORE,ARS,181500.00,181500.00,,,,,000423,44,"15 000423 * MD COMIC Y MANGA STORE 181.500,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-16,16,12,2025,OLEGARIO,ARS,191050.00,191050.00,,,,,005646,45,"16 005646 K OLEGARIO 191.050,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-17,17,12,2025,PROPINA*RAPPI,ARS,2600.00,2600.00,,,,,002435,46,"17 002435 K PROPINA*RAPPI 2.600,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-17,17,12,2025,RAPPI,ARS,51948.00,51948.00,,,,,002435,47,"17 002435 K RAPPI 51.948,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-18,18,12,2025,PROPINA*RAPPI,ARS,1160.00,1160.00,,,,,000817,48,"18 000817 K PROPINA*RAPPI 1.160,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-18,18,12,2025,RAPPI,ARS,15368.00,15368.00,,,,,000817,49,"18 000817 K RAPPI 15.368,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-18,18,12,2025,MAKRO MUNRO,ARS,374285.17,374285.17,,,,,002718,50,"18 002718 K MAKRO MUNRO 374.285,17"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-19,19,12,2025,PROPINA*RAPPI,ARS,780.00,780.00,,,,,005602,51,"19 005602 K PROPINA*RAPPI 780,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-19,19,12,2025,RAPPI,ARS,9033.00,9033.00,,,,,005602,52,"19 005602 K RAPPI 9.033,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-21,21,12,2025,CONVERSE,ARS,53300.00,53300.00,,,,C.01/03,008904,82,"25 Diciem. 21 008904 * CONVERSE C.01/03 53.300,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-21,21,12,2025,ELBROCAL,ARS,12000.00,12000.00,,,,,002385,83,"21 002385 K ELBROCAL 12.000,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-21,21,12,2025,ELBROCAL,ARS,8000.00,8000.00,,,,,002366,84,"21 002366 K ELBROCAL 8.000,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-21,21,12,2025,ELBROCAL,ARS,30000.00,30000.00,,,,,002374,85,"21 002374 K ELBROCAL 30.000,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-21,21,12,2025,ELBROCAL,ARS,20000.00,20000.00,,,,,002362,86,"21 002362 K ELBROCAL 20.000,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-21,21,12,2025,GOOGLE *YouTubeP P1haqxyA,USD,4.73,,4.73,USD,4.73,,829935,87,"21 829935 GOOGLE *YouTubeP P1haqxyA USD 4,73 4,73"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-22,22,12,2025,NEGRO EL 11-UNICENTER,ARS,56600.00,56600.00,,,,,043607,88,"22 043607 K NEGRO EL 11-UNICENTER 56.600,00"
Resumen de tarjeta de crédito VISA-16-01-2026.pdf,2026-01-08,2025-12-22,22,12,2025,HIPER RODO,ARS,239999.01,239999.01,,,,,381552,89,"22 381552 K HIPER RODO 239.999,01"
